Representative's Name,GitHub Handle,Organization,Voting Contact,Membership Status
Leslie Hawthorn,lhawthorn,Red Hat,yes,Active
Boris Dolley,,RTE France,yes,Active
Ruth Suehle,suehle,SAS,yes,Active
Jim Jagielski,jimjag,Salesforce,yes,Active
Yoonhwan Jung,,Samsung,yes,Active
Daniel Park,,Samsung,,Active
Jaehun Lee,-,Samsung,,Active
Seo-Young Isabelle Hwang,Seo-Young,Samsung,,Active
Peter Giese,peter-giese,SAP,yes,Active
Lesley Boveri,lesleyboveri,SAP,,Active
Michael Picht,,SAP,,Active
Jonathan Lipps,jlipps,Sauce Labs,,Active
Miley Fu,mileyfu,Second State,yes,Active
Masayuki Kuwata,,Sony,yes,Active
Alin Jerpelea,,Sony,,Active
Hiroyuki Fukuchi,,Sony,,Active
,,Spotify,yes,Active
Mike Fix,,Stripe,yes,Emeritus
James Christopherson,digitaljames,Target,,Active
Joel Crabb,joel-target,Target,,Active
Michael Whitsitt,michaelswhitsitt,Target,,Active
Stephanie Lieggi,slieggi,UC Santa Cruz,yes,Active
Gil Yehuda,gyehuda,US Bank,yes,Active
Chris Yang,node,Vivo Mobile,yes,Active
Radoslava Zheleva,rzheleva,VMware,yes,Emeritus
Dirk Hohndel,dirkhh,VMware,,Emeritus
Tim Pepper,tpepper,VMware,,Emeritus
April BaSaing,abasaing,VMware,,Emeritus
Rhonda Edwards,rhondae,VMware,,Emeritus
Manfred Moser,mosabua,Walmart,,Emeritus
Sue Xia,sxia9,Walmart,yes,Emeritus
Dan Rowe,draco2003,Wayfair,,Emeritus
Gilles Gravier,gravax,Wipro,,Active
Maria Silverhardt,msdatadetective,Wipro,,Active
Mekhla Mukherjee,mekhla18,Wipro,yes,Active
Liya Yuan,yuanliya,ZTE,yes,Active
